name,value
input321_8_12,(\b[h-k]\b)(\..\>)[[:upper:]](.)(\s+)|(^\W)(\D)
input321_9,(\b[h-j]\b)(\<.\>)[[:upper:]](<)(\s+)|(^\W)(\D)|[[:digit:]]
input321_9_1,(\b[ihj]\b)(\<.\>)[[:upper:]](<)(\s+)|(^\W)(\D)|[[:digit:]]
input321_9_7,(\b[h-i]\b)(\<.\>)[[:upper:]](<)(\s+)|(^\W)(\D)|[[:digit:]]
input321_9_8,(\b[h-k]\b)(\<.\>)[[:upper:]](<)(\s+)|(^\W)(\D)|[[:digit:]]
input321_9_9,(\b[h-j]\b)(\<.\>)[[:upper:]](<)(\s+)|(^\W)(\D)|[[:digit:]]|[[:digit:]]
input321_9_12,(\b[h-j]\b)(\..\>)[[:upper:]](.)(\s+)|(^\W)(\D)|[[:digit:]]
input321_12,(\b[h-j]\b)(\..\>)[[:upper:]](.)(\s+)|(^\W)(\D)
input321_12_1,(\b[hij]\b)(\..\>)[[:upper:]](.)(\s+)|(^\W)(\D)
input321_12_7,(\b[h-i]\b)(\..\>)[[:upper:]](.)(\s+)|(^\W)(\D)
input321_12_8,(\b[h-k]\b)(\..\>)[[:upper:]](.)(\s+)|(^\W)(\D)
input321_12_9,(\b[h-j]\b)(\..\>)[[:upper:]](.)(\s+)|(^\W)(\D)|[[:digit:]]
input327,\B[[:alnum:]]
input327_9,\B[[:alnum:]]|[[:digit:]]
input327_9_9,\B[[:alnum:]]|[[:digit:]]|[[:digit:]]
input327_11,\B[^[:alnum:]]
input327_11_9,\B[^[:alnum:]]|[[:digit:]]
input327_11_11,\B[[:alnum:]]
input354,[[:digit:]]\>\d+\w\B.[\S]([M-X])^not|
input354_1,[[:digit:]]\>\d+\w\B.[\S]([PXNOUVQMWSRT])^not|
input354_1_3,[[:digit:]]\>\d+\w\B.[\S]([S]|[M]|[Q]|[X]|[R]|[N]|[O]|[W]|[V]|[T]|[P]|[U])^not|
input354_1_10,[[:digit:]]\>\d+\w\B.[\S]([SMQXRNOWVTPU])^not|
input354_1_12,[[:digit:]]\>\d+\w\B.[\S]([SMQXRNOWVTPU])^not|
input354_2,[[:digit:]]\>\d+\w\B.[\S](T|P|R|M|V|Q|S|N|X|U|O|W)^not|
input354_2_10,[[:digit:]]\>\d+\w\B.[\S](V|X|T|P|W|R|M|Q|O|N|U|S)^not|
input354_2_12,[[:digit:]]\>\d+\w\B.[\S](V|X|T|P|W|R|M|Q|O|N|U|S)^not|
input354_4,[[:digit:]]\>\d+\w\B.[\S]([M-N]|[O-X])^not|
input354_4_1,[[:digit:]]\>\d+\w\B.[\S]([NM]|[O-X])^not|
input354_4_7,[[:digit:]]\>\d+\w\B.[\S]([M-M]|[O-X])^not|
input354_4_8,[[:digit:]]\>\d+\w\B.[\S]([M-O]|[O-X])^not|
input354_4_10,[[:digit:]]\>\d+\w\B.[\S]([M-N]|[O-X])^not+|
input354_4_12,[[:digit:]]\>\d+\w\B.[\S]([M-N]|[O-X])^...|
input354_7,[[:digit:]]\>\d+\w\B.[\S]([M-W])^not|
input354_7_1,[[:digit:]]\>\d+\w\B.[\S]([USRONTWVPQM])^not|
input354_7_2,[[:digit:]]\>\d+\w\B.[\S](M|N|U|P|S|T|R|V|Q|W|O)^not|
input354_7_4,[[:digit:]]\>\d+\w\B.[\S]([M-N]|[O-W])^not|
input354_7_7,[[:digit:]]\>\d+\w\B.[\S]([M-V])^not|
input354_7_8,[[:digit:]]\>\d+\w\B.[\S]([M-X])^not|
input354_7_10,[[:digit:]]\>\d+\w\B.[\S]([M-W])^not+|
input354_7_12,[[:digit:]]\>\d+\w\B.[\S]([M-W])^...|
input354_8,[[:digit:]]\>\d+\w\B.[\S]([M-Y])^not|
input354_8_1,[[:digit:]]\>\d+\w\B.[\S]([VUYWOXPRSQMNT])^not|
input354_8_2,[[:digit:]]\>\d+\w\B.[\S](R|Q|O|Y|T|U|N|X|W|P|M|S|V)^not|
input354_8_4,[[:digit:]]\>\d+\w\B.[\S]([M-N]|[O-Y])^not|
input354_8_7,[[:digit:]]\>\d+\w\B.[\S]([M-X])^not|
input354_8_8,[[:digit:]]\>\d+\w\B.[\S]([M-Z])^not|
input354_8_10,[[:digit:]]\>\d+\w\B.[\S]([M-Y])^not{1}|
input354_8_12,[[:digit:]]\>\d+\w\B.[\S]([M-Y])^...|
input354_10,[[:digit:]]\>\d+\w\B.[\S]([M-X])^not+|
input354_10_1,[[:digit:]]\>\d+\w\B.[\S]([QNOVXWTRSMUP])^not+|
input354_10_2,[[:digit:]]\>\d+\w\B.[\S](T|R|W|U|X|V|S|N|Q|M|P|O)^not+|
input354_10_4,[[:digit:]]\>\d+\w\B.[\S]([M-N]|[O-X])^not+|
input354_10_7,[[:digit:]]\>\d+\w\B.[\S]([M-W])^not+|
input354_10_8,[[:digit:]]\>\d+\w\B.[\S]([M-Y])^not+|
input354_10_12,[[:digit:]]\>\d+\w\B.[\S]([M-X])^...+|
input354_12,[[:digit:]]\>\d+\w\B.[\S]([M-X])^...|
input354_12_1,[[:digit:]]\>\d+\w\B.[\S]([RPUNXTWMOQVS])^...|
input354_12_2,[[:digit:]]\>\d+\w\B.[\S](Q|P|R|T|W|X|N|S|M|U|V|O)^...|
input354_12_4,[[:digit:]]\>\d+\w\B.[\S]([M-N]|[O-X])^...|
input354_12_7,[[:digit:]]\>\d+\w\B.[\S]([M-W])^...|
input354_12_8,[[:digit:]]\>\d+\w\B.[\S]([M-Y])^...|
input371,[[:cntrl:]]?
input371_9,[[:cntrl:]]?|[[:digit:]]
input371_9_9,[[:cntrl:]]?|[[:digit:]]|[[:digit:]]
input402,\B[a-q]
input402_1,\B[omjncdlfahieqkbpg]
input402_1_9,\B[kelcbfomdhaqginpj]|[[:digit:]]
input402_7,\B[a-p]
input402_7_1,\B[nbhliapedgfcojmk]
input402_7_7,\B[a-o]
input402_7_8,\B[a-q]
input402_7_9,\B[a-p]|[[:digit:]]
input402_8,\B[a-r]
input402_8_1,\B[nqmfegjdikopbalchr]
input402_8_7,\B[a-q]
input402_8_8,\B[a-s]
input402_8_9,\B[a-r]|[[:digit:]]
input402_9,\B[a-q]|[[:digit:]]
input402_9_1,\B[goqfnambichljpedk]|[[:digit:]]
input402_9_7,\B[a-p]|[[:digit:]]
input402_9_8,\B[a-r]|[[:digit:]]
input402_9_9,\B[a-q]|[[:digit:]]|[[:digit:]]
input411,[[:print:]]\B
input411_9,[[:print:]]\B|[[:digit:]]
input411_9_9,[[:print:]]\B|[[:digit:]]|[[:digit:]]
input421,"(^\s$)([^f-w])(\b\w\b)([[:cntrl:]]{2,})(.)(\<line)|(\d)"
input421_9,"(^\s$)([^f-w])(\b\w\b)([[:cntrl:]]{2,})(.)(\<line)|(\d)|[[:digit:]]"
input421_9_9,"(^\s$)([^f-w])(\b\w\b)([[:cntrl:]]{2,})(.)(\<line)|(\d)|[[:digit:]]|[[:digit:]]"
input421_9_12,"(^\s$)([^f-w])(\b\w\b)([[:cntrl:]]{2,})(.)(\<....)|(\d)|[[:digit:]]"
input421_10,"(^\s$)([^f-w])(\b\w\b)([[:cntrl:]]{2,})(.)(\<line{1})|(\d)"
input421_10_9,"(^\s$)([^f-w])(\b\w\b)([[:cntrl:]]{2,})(.)(\<line{1})|(\d)|[[:digit:]]"
input421_12,"(^\s$)([^f-w])(\b\w\b)([[:cntrl:]]{2,})(.)(\<....)|(\d)"
input421_12_9,"(^\s$)([^f-w])(\b\w\b)([[:cntrl:]]{2,})(.)(\<....)|(\d)|[[:digit:]]"
input454,[^[:print:]6-8\*\w\D\S.]
input454_9,[^[:print:]6-8\*\w\D\S.]|[[:digit:]]
input454_9_9,[^[:print:]6-8\*\w\D\S.]|[[:digit:]]|[[:digit:]]
input463,\b[2-9]\b
input463_1,\b[34859627]\b
input463_1_9,\b[85432679]\b|[[:digit:]]
input463_7,\b[2-8]\b
input463_7_1,\b[5738426]\b
input463_7_7,\b[2-7]\b
input463_7_8,\b[2-9]\b
input463_7_9,\b[2-8]\b|[[:digit:]]
input463_9,\b[2-9]\b|[[:digit:]]
input463_9_1,\b[35687249]\b|[[:digit:]]
input463_9_7,\b[2-8]\b|[[:digit:]]
input463_9_9,\b[2-9]\b|[[:digit:]]|[[:digit:]]
input469,\b\d
input469_9,\b\d|[[:digit:]]
input469_9_9,\b\d|[[:digit:]]|[[:digit:]]
input517,\b[[:upper:]]\b
input517_9,\b[[:upper:]]\b|[[:digit:]]
input517_9_9,\b[[:upper:]]\b|[[:digit:]]|[[:digit:]]
input524,\B\d\B
input524_9,\B\d\B|[[:digit:]]
input524_9_9,\B\d\B|[[:digit:]]|[[:digit:]]
input548,"[^[:print:]r-x\,\W\D\s.]"
input548_9,"[^[:print:]r-x\,\W\D\s.]|[[:digit:]]"
input548_9_9,"[^[:print:]r-x\,\W\D\s.]|[[:digit:]]|[[:digit:]]"
input562,\B[[:space:]]\B
input562_9,\B[[:space:]]\B|[[:digit:]]
input562_9_9,\B[[:space:]]\B|[[:digit:]]|[[:digit:]]
input596,(\B.)([[:lower:]])\s(\<[B-Q]\>)(^\D)(\W*)|(\~)
input596_1,(\B.)([[:lower:]])\s(\<[GIJFOKMQPLEBNCHD]\>)(^\D)(\W*)|(\~)
input596_1_9,(\B.)([[:lower:]])\s(\<[GOELJKCDHFNPBQIM]\>)(^\D)(\W*)|(\~)|[[:digit:]]
input596_1_10,(\B.)([[:lower:]])\s(\<[GOELJKCDHFNPBQIM]\>)(^\D)(\W*)|(\~)
input596_1_12,(\B.)([[:lower:]])\s(\<[GOELJKCDHFNPBQIM]\>)(^\D)(\W*)|(\~)
input596_7,(\B.)([[:lower:]])\s(\<[B-P]\>)(^\D)(\W*)|(\~)
input596_7_1,(\B.)([[:lower:]])\s(\<[KEGOCBDILMFJNHP]\>)(^\D)(\W*)|(\~)
input596_7_7,(\B.)([[:lower:]])\s(\<[B-O]\>)(^\D)(\W*)|(\~)
input596_7_8,(\B.)([[:lower:]])\s(\<[B-Q]\>)(^\D)(\W*)|(\~)
input596_7_9,(\B.)([[:lower:]])\s(\<[B-P]\>)(^\D)(\W*)|(\~)|[[:digit:]]
input596_7_10,(\B.)([[:lower:]])\s(\<[B-P]\>)(^\D)(\W*)|(\~{1})
input596_8,(\B.)([[:lower:]])\s(\<[B-R]\>)(^\D)(\W*)|(\~)
input596_8_1,(\B.)([[:lower:]])\s(\<[MFJERDBPNQCOGHILK]\>)(^\D)(\W*)|(\~)
input596_8_7,(\B.)([[:lower:]])\s(\<[B-Q]\>)(^\D)(\W*)|(\~)
input596_8_8,(\B.)([[:lower:]])\s(\<[B-S]\>)(^\D)(\W*)|(\~)
input596_8_9,(\B.)([[:lower:]])\s(\<[B-R]\>)(^\D)(\W*)|(\~)|[[:digit:]]
input596_8_10,(\B.)([[:lower:]])\s(\<[B-R]\>)(^\D)(\W*)|(\~+)
input596_9,(\B.)([[:lower:]])\s(\<[B-Q]\>)(^\D)(\W*)|(\~)|[[:digit:]]
input596_9_1,(\B.)([[:lower:]])\s(\<[KPIDHLBNCQMOFEJG]\>)(^\D)(\W*)|(\~)|[[:digit:]]
input596_9_7,(\B.)([[:lower:]])\s(\<[B-P]\>)(^\D)(\W*)|(\~)|[[:digit:]]
input596_9_8,(\B.)([[:lower:]])\s(\<[B-R]\>)(^\D)(\W*)|(\~)|[[:digit:]]
input596_9_9,(\B.)([[:lower:]])\s(\<[B-Q]\>)(^\D)(\W*)|(\~)|[[:digit:]]|[[:digit:]]
input596_10,(\B.)([[:lower:]])\s(\<[B-Q]\>)(^\D)(\W*)|(\~+)
input596_10_1,(\B.)([[:lower:]])\s(\<[IOMBJHLQNEFKPDGC]\>)(^\D)(\W*)|(\~+)
input596_10_7,(\B.)([[:lower:]])\s(\<[B-P]\>)(^\D)(\W*)|(\~+)
input596_10_8,(\B.)([[:lower:]])\s(\<[B-R]\>)(^\D)(\W*)|(\~+)
input596_10_9,(\B.)([[:lower:]])\s(\<[B-Q]\>)(^\D)(\W*)|(\~+)|[[:digit:]]
input605,(.)(\W{0})(\<\d)\1|([\S])([[:digit:]])(^simple$)([j-l]\b)
input605_1,(.)(\W{0})(\<\d)\1|([\S])([[:digit:]])(^simple$)([klj]\b)
input605_1_9,(.)(\W{0})(\<\d)\1|([\S])([[:digit:]])(^simple$)([jkl]\b)|[[:digit:]]
input605_1_10,(.)(\W{0})(\<\d)\1|([\S])([[:digit:]])(^simple$)([jkl]\b)
input605_1_12,(.)(\W{0})(\<\d)\1|([\S])([[:digit:]])(^simple$)([jkl]\b)
input605_7,(.)(\W{0})(\<\d)\1|([\S])([[:digit:]])(^simple$)([j-k]\b)
input605_7_1,(.)(\W{0})(\<\d)\1|([\S])([[:digit:]])(^simple$)([kj]\b)
input605_7_8,(.)(\W{0})(\<\d)\1|([\S])([[:digit:]])(^simple$)([j-l]\b)
input605_7_9,(.)(\W{0})(\<\d)\1|([\S])([[:digit:]])(^simple$)([j-k]\b)|[[:digit:]]
input605_7_12,(.)(\W{0})(\<\d)\1|([\S])([[:digit:]])(^......$)([j-k]\b)
input605_8,(.)(\W{0})(\<\d)\1|([\S])([[:digit:]])(^simple$)([j-m]\b)
input605_8_1,(.)(\W{0})(\<\d)\1|([\S])([[:digit:]])(^simple$)([kjml]\b)
input605_8_7,(.)(\W{0})(\<\d)\1|([\S])([[:digit:]])(^simple$)([j-l]\b)
input605_8_8,(.)(\W{0})(\<\d)\1|([\S])([[:digit:]])(^simple$)([j-n]\b)
input605_8_9,(.)(\W{0})(\<\d)\1|([\S])([[:digit:]])(^simple$)([j-m]\b)|[[:digit:]]
input605_8_12,(.)(\W{0})(\<\d)\1|([\S])([[:digit:]])(^......$)([j-m]\b)
input605_9,(.)(\W{0})(\<\d)\1|([\S])([[:digit:]])(^simple$)([j-l]\b)|[[:digit:]]
input605_9_1,(.)(\W{0})(\<\d)\1|([\S])([[:digit:]])(^simple$)([kjl]\b)|[[:digit:]]
input605_9_7,(.)(\W{0})(\<\d)\1|([\S])([[:digit:]])(^simple$)([j-k]\b)|[[:digit:]]
input605_9_8,(.)(\W{0})(\<\d)\1|([\S])([[:digit:]])(^simple$)([j-m]\b)|[[:digit:]]
input605_9_9,(.)(\W{0})(\<\d)\1|([\S])([[:digit:]])(^simple$)([j-l]\b)|[[:digit:]]|[[:digit:]]
input605_9_12,(.)(\W{0})(\<\d)\1|([\S])([[:digit:]])(^......$)([j-l]\b)|[[:digit:]]
input605_12,(.)(\W{0})(\<\d)\1|([\S])([[:digit:]])(^......$)([j-l]\b)
input605_12_1,(.)(\W{0})(\<\d)\1|([\S])([[:digit:]])(^......$)([klj]\b)
input605_12_7,(.)(\W{0})(\<\d)\1|([\S])([[:digit:]])(^......$)([j-k]\b)
input605_12_8,(.)(\W{0})(\<\d)\1|([\S])([[:digit:]])(^......$)([j-m]\b)
input605_12_9,(.)(\W{0})(\<\d)\1|([\S])([[:digit:]])(^......$)([j-l]\b)|[[:digit:]]
input704,[[:digit:]a-qbarus\w\d\S.]
input704_9,[[:digit:]a-qbarus\w\d\S.]|[[:digit:]]
input704_9_9,[[:digit:]a-qbarus\w\d\S.]|[[:digit:]]|[[:digit:]]
input777,([\~])(\b[[:alpha:]]\b)\w+[g-q]\2\<\s(.)|(^\d)
input777_1,([\~])(\b[[:alpha:]]\b)\w+[pjqighmonlk]\2\<\s(.)|(^\d)
input777_1_9,([\~])(\b[[:alpha:]]\b)\w+[ijhgmoqknlp]\2\<\s(.)|(^\d)|[[:digit:]]
input777_1_10,([\~])(\b[[:alpha:]]\b)\w+[ijhgmoqknlp]\2\<\s(.)|(^\d)
input777_1_12,([\~])(\b[[:alpha:]]\b)\w+[ijhgmoqknlp]\2\<\s(.)|(^\d)
input777_7,([\~])(\b[[:alpha:]]\b)\w+[g-p]\2\<\s(.)|(^\d)
input777_7_1,([\~])(\b[[:alpha:]]\b)\w+[hjnmkgolpi]\2\<\s(.)|(^\d)
input777_7_7,([\~])(\b[[:alpha:]]\b)\w+[g-o]\2\<\s(.)|(^\d)
input777_7_8,([\~])(\b[[:alpha:]]\b)\w+[g-q]\2\<\s(.)|(^\d)
input777_7_9,([\~])(\b[[:alpha:]]\b)\w+[g-p]\2\<\s(.)|(^\d)|[[:digit:]]
input777_8,([\~])(\b[[:alpha:]]\b)\w+[g-r]\2\<\s(.)|(^\d)
input777_8_1,([\~])(\b[[:alpha:]]\b)\w+[kqpmnrhjlgoi]\2\<\s(.)|(^\d)
input777_8_7,([\~])(\b[[:alpha:]]\b)\w+[g-q]\2\<\s(.)|(^\d)
input777_8_8,([\~])(\b[[:alpha:]]\b)\w+[g-s]\2\<\s(.)|(^\d)
input777_8_9,([\~])(\b[[:alpha:]]\b)\w+[g-r]\2\<\s(.)|(^\d)|[[:digit:]]
input777_9,([\~])(\b[[:alpha:]]\b)\w+[g-q]\2\<\s(.)|(^\d)|[[:digit:]]
input777_9_1,([\~])(\b[[:alpha:]]\b)\w+[gpljoiqmnhk]\2\<\s(.)|(^\d)|[[:digit:]]
input777_9_7,([\~])(\b[[:alpha:]]\b)\w+[g-p]\2\<\s(.)|(^\d)|[[:digit:]]
input777_9_8,([\~])(\b[[:alpha:]]\b)\w+[g-r]\2\<\s(.)|(^\d)|[[:digit:]]
input777_9_9,([\~])(\b[[:alpha:]]\b)\w+[g-q]\2\<\s(.)|(^\d)|[[:digit:]]|[[:digit:]]
input842,[^[:cntrl:]R-U\{\W\d\s.]
input842_9,[^[:cntrl:]R-U\{\W\d\s.]|[[:digit:]]
input842_9_9,[^[:cntrl:]R-U\{\W\d\s.]|[[:digit:]]|[[:digit:]]
input945,\<[[:upper:]]^\d$(\S)(\b[e-r]\b)|[^\!](.)\W+
input945_1,\<[[:upper:]]^\d$(\S)(\b[ofnmhpqrligjke]\b)|[^\!](.)\W+
input945_1_9,\<[[:upper:]]^\d$(\S)(\b[pojfignlekhrqm]\b)|[^\!](.)\W+|[[:digit:]]
input945_1_10,\<[[:upper:]]^\d$(\S)(\b[pojfignlekhrqm]\b)|[^\!](.)\W+
input945_1_12,\<[[:upper:]]^\d$(\S)(\b[pojfignlekhrqm]\b)|[^\!](.)\W+
input945_7,\<[[:upper:]]^\d$(\S)(\b[e-q]\b)|[^\!](.)\W+
input945_7_1,\<[[:upper:]]^\d$(\S)(\b[oljefhmkqipgn]\b)|[^\!](.)\W+
input945_7_7,\<[[:upper:]]^\d$(\S)(\b[e-p]\b)|[^\!](.)\W+
input945_7_8,\<[[:upper:]]^\d$(\S)(\b[e-r]\b)|[^\!](.)\W+
input945_7_9,\<[[:upper:]]^\d$(\S)(\b[e-q]\b)|[^\!](.)\W+|[[:digit:]]
input945_8,\<[[:upper:]]^\d$(\S)(\b[e-s]\b)|[^\!](.)\W+
input945_8_1,\<[[:upper:]]^\d$(\S)(\b[sikfpnrohlqjmge]\b)|[^\!](.)\W+
input945_8_7,\<[[:upper:]]^\d$(\S)(\b[e-r]\b)|[^\!](.)\W+
input945_8_8,\<[[:upper:]]^\d$(\S)(\b[e-t]\b)|[^\!](.)\W+
input945_8_9,\<[[:upper:]]^\d$(\S)(\b[e-s]\b)|[^\!](.)\W+|[[:digit:]]
input945_9,\<[[:upper:]]^\d$(\S)(\b[e-r]\b)|[^\!](.)\W+|[[:digit:]]
input945_9_1,\<[[:upper:]]^\d$(\S)(\b[qkrfgplehionmj]\b)|[^\!](.)\W+|[[:digit:]]
input945_9_7,\<[[:upper:]]^\d$(\S)(\b[e-q]\b)|[^\!](.)\W+|[[:digit:]]
input945_9_8,\<[[:upper:]]^\d$(\S)(\b[e-s]\b)|[^\!](.)\W+|[[:digit:]]
input945_9_9,\<[[:upper:]]^\d$(\S)(\b[e-r]\b)|[^\!](.)\W+|[[:digit:]]|[[:digit:]]
input952,[^[:punct:]2-5not\w\D\s.]
input952_9,[^[:punct:]2-5not\w\D\s.]|[[:digit:]]
input952_9_9,[^[:punct:]2-5not\w\D\s.]|[[:digit:]]|[[:digit:]]
input966,[[:alnum:]w-x\&\W\d\S.]
input966_9,[[:alnum:]w-x\&\W\d\S.]|[[:digit:]]
input966_9_9,[[:alnum:]w-x\&\W\d\S.]|[[:digit:]]|[[:digit:]]
input1048,[[:space:]B-Ztypo\W\D\s.]
input1048_9,[[:space:]B-Ztypo\W\D\s.]|[[:digit:]]
input1048_9_9,[[:space:]B-Ztypo\W\D\s.]|[[:digit:]]|[[:digit:]]
input1142,[^\w](\<[[:punct:]])(\b\d)(\]*)(.)(\S)[X-Z]$|
input1142_1,[^\w](\<[[:punct:]])(\b\d)(\]*)(.)(\S)[XZY]$|
input1142_1_10,[^\w](\<[[:punct:]])(\b\d)(\]*)(.)(\S)[XZY]$|
input1142_1_12,[^\w](\<[[:punct:]])(\b\d)(\]*)(.)(\S)[XZY]$|
input1142_7,[^\w](\<[[:punct:]])(\b\d)(\]*)(.)(\S)[X-Y]$|
input1142_7_1,[^\w](\<[[:punct:]])(\b\d)(\]*)(.)(\S)[XY]$|
input1142_7_8,[^\w](\<[[:punct:]])(\b\d)(\]*)(.)(\S)[X-Z]$|
input1230,\w+[^\S](.)[[:xdigit:]]\b[o-y](\D$)\<\%\>|
input1230_1,\w+[^\S](.)[[:xdigit:]]\b[xyortuswpvq](\D$)\<\%\>|
input1230_1_10,\w+[^\S](.)[[:xdigit:]]\b[yvqpwsrxotu](\D$)\<\%\>|
input1230_1_12,\w+[^\S](.)[[:xdigit:]]\b[yvqpwsrxotu](\D$)\<\%\>|
input1230_7,\w+[^\S](.)[[:xdigit:]]\b[o-x](\D$)\<\%\>|
input1230_7_1,\w+[^\S](.)[[:xdigit:]]\b[svpqxtworu](\D$)\<\%\>|
input1230_7_7,\w+[^\S](.)[[:xdigit:]]\b[o-w](\D$)\<\%\>|
input1230_7_8,\w+[^\S](.)[[:xdigit:]]\b[o-y](\D$)\<\%\>|
